código_estación;nombre_estación;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20
751;Estadio Metropolitano;67.539;90.921;32.273;4.652;7.758;15.565;17.621;13.618;19.041;19.280;19.153;19.705
754;Barrio del Puerto;69.046;70.490;31.449;5.855;12.736;27.466;32.164;22.611;36.895;35.612;39.170;37.938
755;Coslada Central;188.229;193.558;91.385;21.829;40.180;80.982;96.019;74.460;101.458;107.342;107.172;106.329
756;La Rambla;100.877;99.797;46.120;9.679;18.668;41.498;48.995;36.265;52.533;54.387;53.852;56.108
757;San Fernando;75.849;75.385;35.149;8.511;16.441;35.656;41.633;31.387;41.697;42.932;43.995;44.560
758;Jarama;41.075;42.759;17.634;2.685;5.163;13.922;17.476;13.118;20.816;22.331;22.732;21.926
759;Henares;38.667;46.414;21.304;5.368;7.914;16.017;17.289;13.058;19.385;20.708;20.928;20.577
760;Hospital del Henares;19.431;2.203;0;0;0;912;7.621;6.682;8.111;8.765;8.706;8.090
802;Colombia;397.763;409.240;176.542;31.599;66.847;152.035;174.966;117.057;196.635;208.103;214.686;205.669
803;Pinar del Rey;181.490;202.242;87.489;15.391;30.530;66.150;77.186;56.430;80.054;82.794;85.570;81.550
805;Feria de Madrid;254.613;252.727;99.200;14.094;14.450;32.319;41.573;32.470;41.107;37.198;38.609;34.983
806;Aeropuerto T1-T2-T3;228.286;223.164;92.510;2.859;3.081;5.138;35.807;38.732;29.314;16.318;20.323;17.885
807;Barajas;172.849;173.817;79.554;14.936;29.311;64.671;83.380;67.531;85.447;88.511;89.562;88.894
808;Aeropuerto T-4;166.398;159.167;73.958;6.720;8.327;17.670;47.025;60.704;50.263;37.453;38.949;40.451
901;Herrera Oria;145.931;150.842;64.056;10.660;24.081;54.535;61.010;40.034;66.917;71.145;71.905;70.290
902;Barrio del Pilar;292.726;281.698;121.219;21.563;43.733;112.945;143.621;111.346;140.755;149.766;148.960;160.308
903;Ventilla;119.428;122.424;57.419;13.908;24.602;51.292;62.131;47.373;63.430;68.485;68.619;68.335
905;Duque de Pastrana;59.178;62.303;26.374;4.354;9.380;19.210;21.547;12.259;28.378;29.491;31.662;26.910
906;Pío XII;143.831;147.132;66.408;13.049;25.539;50.631;60.631;42.215;71.975;73.566;77.058;72.988
908;Concha Espina;159.013;169.013;69.427;10.338;21.626;49.572;56.340;37.489;66.769;73.348;74.474;69.827
909;Cruz del Rayo;165.021;181.202;72.519;8.089;16.037;38.946;54.064;38.404;58.456;59.710;62.847;58.737
913;Ibiza;156.619;171.273;69.568;10.925;24.717;66.597;76.380;55.199;78.085;79.218;80.565;79.283
915;Estrella;179.905;175.351;78.745;16.665;32.641;71.217;79.881;59.918;88.646;93.999;95.271;98.489
916;Vinateros;181.905;185.228;79.616;12.249;25.024;63.368;77.556;57.849;83.412;92.727;95.263;92.540
917;Artilleros;222.972;223.932;100.879;19.154;39.533;87.765;104.853;79.721;111.068;113.950;118.026;121.088
918;Pavones;180.359;182.753;86.637;21.520;38.040;76.325;91.028;65.897;91.924;93.855;98.974;97.740
919;Valdebernardo;181.797;185.322;81.218;14.308;26.801;62.672;77.709;57.964;86.183;95.168;95.141;97.038
920;Vicálvaro;151.709;171.912;72.416;13.878;27.765;53.293;61.094;48.204;61.008;75.557;73.265;72.208
921;San Cipriano;70.385;70.696;35.953;9.923;17.717;34.348;39.826;32.539;41.881;43.014;44.456;43.969
922;Puerta de Arganda;209.284;230.471;115.641;32.068;53.359;101.895;121.504;96.701;128.262;137.306;137.546;133.901
951;Mirasierra;91.209;93.600;41.906;11.671;18.605;36.091;40.681;27.491;46.653;49.840;50.721;47.967
952;Paco de Lucía;89.913;92.300;38.950;7.303;16.802;37.024;41.885;26.444;49.817;52.547;54.920;50.344
1001;Fuencarral;139.295;140.409;65.979;14.142;29.949;60.843;73.375;57.276;74.242;80.796;80.546;80.123
1002;Begoña;322.924;331.273;163.132;49.263;69.524;124.800;154.061;112.339;145.799;154.878;161.336;148.978
1005;Cuzco;324.257;335.437;147.328;19.355;42.487;101.205;127.163;86.664;134.874;138.988;141.506;136.567
1006;Santiago Bernabéu;382.741;429.279;173.904;20.841;43.984;102.800;132.287;89.748;139.901;142.468;147.410;142.968
1013;Lago;82.031;88.749;33.393;2.866;7.247;32.879;43.103;41.982;38.163;44.472;45.674;38.301
1014;Batán;160.238;166.693;73.538;13.943;29.904;71.599;100.856;80.667;89.349;94.709;97.480;96.481
1016;Colonia Jardín;501.593;530.924;232.075;45.725;93.381;194.500;232.739;176.370;254.978;274.599;275.668;268.569
1018;Aviación Española;141.613;143.723;65.696;14.327;29.448;62.998;75.443;57.093;76.344;79.043;81.837;79.798
1019;Cuatro Vientos;203.306;210.850;93.874;18.381;35.273;71.404;86.668;64.072;90.581;99.001;97.248;95.738
1020;Joaquín Vilumbrales;143.980;146.541;62.407;9.701;19.503;50.285;61.361;44.374;65.403;71.532;65.588;73.048
1021;Puerta del Sur;248.571;252.485;120.310;28.185;47.435;100.956;121.955;93.024;124.366;133.695;128.632;134.394
1051;Tres Olivos;85.703;87.743;36.783;6.749;13.232;31.316;38.913;27.282;44.640;46.759;48.761;44.569
1052;Montecarmelo;95.364;95.980;42.458;8.976;19.638;38.962;43.710;27.517;52.714;53.978;56.372;52.199
1053;Las Tablas;168.191;171.766;70.744;11.476;25.370;55.731;63.787;41.953;74.054;75.189;77.673;71.700
1054;Ronda de la Comunicación;67.865;70.760;26.581;2.444;3.957;7.875;9.944;7.473;12.153;11.306;11.241;11.008
1055;La Granja;60.506;62.070;37.132;8.774;13.109;20.381;23.251;17.896;23.176;23.604;24.574;21.612
1056;La Moraleja;111.737;113.133;47.359;7.432;15.675;31.685;37.497;28.069;45.544;43.612;43.673;41.077
1057;Marqués de la Valdavia;120.048;118.680;56.055;12.089;24.984;54.074;62.597;48.444;58.073;61.717;59.245;60.428
1058;Manuel de Falla;69.115;69.837;30.989;5.206;10.213;24.965;30.787;22.882;33.393;35.782;34.633;33.991
1059;Baunatal;64.506;64.732;28.643;5.708;10.113;22.658;27.157;20.143;29.835;32.404;32.136;30.631
1060;Reyes Católicos;66.320;64.787;30.634;6.429;12.614;29.112;34.286;27.399;33.804;35.640;33.885;35.965
1061;Hospital Infanta Sofía;96.278;95.737;44.191;10.717;17.468;39.479;46.512;35.500;46.851;48.796;47.808;45.257
1102;Abrantes;75.997;74.114;38.427;11.094;22.274;40.958;47.497;37.800;43.326;48.186;47.742;48.839
1103;Pan Bendito;53.144;52.497;26.012;7.796;15.443;27.522;31.713;25.966;29.608;34.010;33.596;33.231
1104;San Francisco;97.503;97.540;47.727;12.355;23.516;46.782;57.822;46.752;52.729;58.525;57.078;59.260
1105;Carabanchel Alto;94.729;95.174;46.350;12.654;25.150;47.980;56.624;44.653;54.485;59.286;58.871;59.147
1106;La Peseta;81.313;81.598;38.119;8.849;16.317;34.780;42.059;32.209;43.632;47.226;47.641;47.179
1107;La Fortuna;57.113;55.637;28.347;9.241;15.552;31.731;38.038;32.251;36.729;38.527;35.818;40.493
1202;Parque de Lisboa;98.124;99.043;46.644;10.966;21.440;45.775;53.507;43.834;53.926;59.433;55.235;60.140
1203;Alcorcón Central;170.428;176.182;81.189;20.552;36.057;78.807;95.945;78.724;95.141;106.811;97.501;105.438
1204;Parque Oeste;92.499;91.978;38.152;6.362;12.654;37.468;48.194;42.069;49.526;57.246;46.801;59.664
1205;Universidad Rey Juan Carlos;119.877;140.770;54.120;8.895;14.498;31.880;40.660;29.245;47.864;67.410;60.036;56.327
1206;Móstoles Central;183.759;194.408;92.610;24.317;42.436;83.966;103.143;82.783;104.065;114.133;104.200;112.532
1207;Pradillo;141.276;141.560;67.764;16.198;32.095;67.777;79.995;65.119;80.611;86.586;79.531;84.775
1208;Hospital de Móstoles;123.114;128.183;59.605;16.796;26.501;52.470;62.186;48.134;65.219;72.766;69.588;70.620
1209;Manuela Malasaña;79.671;81.747;38.714;9.634;16.666;34.187;40.636;31.602;43.711;48.570;47.556;46.952
1210;Loranca;128.447;129.715;62.058;15.144;26.099;58.662;69.147;54.211;74.735;79.955;76.334;81.261
1212;Hospital de Fuenlabrada;111.059;137.351;55.101;9.849;14.687;25.162;29.697;21.406;30.392;49.792;43.377;41.047
1213;Parque Europa;89.115;91.094;42.545;10.381;18.514;39.446;45.969;35.899;45.099;53.263;49.998;51.011
1214;Fuenlabrada Central;197.236;206.435;98.377;25.231;42.159;85.429;103.718;82.347;101.100;117.834;107.759;113.651
1215;Parque de los Estados;104.903;107.151;53.198;13.421;24.287;50.006;60.638;48.012;56.900;66.058;61.831;66.494
1217;Arroyo Culebro;30.679;31.121;13.916;2.933;5.278;13.011;15.370;11.520;16.972;19.354;18.456;18.992
1218;Conservatorio;65.583;64.900;28.132;6.616;10.512;24.892;31.060;24.262;32.030;36.435;35.254;37.471
1219;Alonso de Mendoza;88.931;89.812;41.692;10.766;17.916;36.073;44.479;35.842;47.878;55.035;52.571;52.719
1220;Getafe Central;283.328;283.690;132.504;31.918;56.173;117.434;148.934;119.959;146.948;167.737;154.253;168.889
1221;Juan de la Cierva;176.481;179.486;82.799;18.242;33.971;75.700;92.957;75.122;90.679;103.826;96.740;103.923
1222;El Casar;143.288;148.784;68.604;19.796;30.686;60.457;74.482;59.411;81.650;89.582;84.655;87.932
1223;Los Espartales;63.020;63.969;27.589;5.567;9.109;21.974;28.948;22.842;31.249;33.995;32.817;33.554
1224;El Bercial;66.904;58.650;25.544;7.669;11.345;26.501;33.729;27.207;32.274;37.128;33.713;40.241
1225;El Carrascal;165.713;140.702;55.473;6.724;12.365;59.208;85.753;71.104;81.530;84.269;68.767;105.592
1226;Julián Besteiro;118.043;117.131;53.907;12.593;21.825;47.078;58.349;45.746;60.737;64.928;61.770;65.564
1227;Casa del Reloj;108.634;108.777;51.217;12.644;21.021;43.951;55.256;43.467;57.144;62.914;61.310;61.980
1228;Hospital Severo Ochoa;73.762;74.016;36.598;11.687;15.929;28.462;34.282;27.875;36.776;41.516;39.627;39.444
1229;Leganés Central;166.042;175.640;82.982;21.311;34.540;70.784;90.094;70.187;94.718;104.015;97.444;100.130
1230;San Nicasio;103.384;107.580;50.032;11.394;19.944;42.757;54.373;42.118;59.144;64.989;62.866;63.348
