código_estación;nombre_estación;ene-18;feb-18;mar-18;abr-18;may-18;jun-18;jul-18;ago-18;sept-18;oct-18;nov-18;dic-18
101;Plaza de Castilla;1.123.321;1.120.358;1.147.774;1.179.201;1.144.453;1.142.164;1.032.044;735.194;1.095.426;1.274.350;1.195.137;1.090.085
102;Valdeacederas;238.797;237.988;246.593;251.229;255.575;255.468;204.188;129.361;187.294;233.357;241.787;229.695
103;Tetuán;308.282;305.067;316.884;321.021;316.826;274.919;236.906;192.497;291.387;329.791;315.603;302.474
104;Estrecho;426.795;428.272;438.848;453.194;454.754;439.333;404.909;279.938;397.407;470.253;453.082;425.942
105;Alvarado;172.216;169.953;178.779;180.140;181.478;176.036;158.533;113.886;156.767;184.835;180.642;178.407
106;Cuatro Caminos;602.636;605.678;617.464;626.230;625.571;596.299;510.990;370.798;566.602;674.510;647.179;612.131
107;Ríos Rosas;193.587;203.472;207.451;211.654;207.395;199.232;167.459;97.586;186.100;230.653;217.684;189.302
108;Iglesia;305.476;305.508;307.339;317.930;316.461;307.138;255.096;146.943;269.204;337.243;326.527;288.281
109;Bilbao;420.681;421.263;431.081;429.457;414.333;396.562;343.261;222.009;367.000;443.973;434.891;406.452
110;Tribunal;458.811;456.895;477.065;486.073;468.592;444.864;394.386;278.759;469.312;556.375;538.403;537.426
111;Gran Vía;590.676;547.243;611.281;596.123;585.249;574.875;567.195;274.979;0;0;0;0
112;Sol;1.920.337;1.821.272;1.965.969;1.959.695;2.009.055;1.901.463;1.767.226;1.275.793;1.964.416;2.278.149;2.320.683;2.536.405
113;Tirso de Molina;310.204;317.741;341.914;343.906;344.523;323.296;290.880;211.865;305.929;370.062;360.972;357.406
114;Antón Martín;242.279;249.673;275.444;267.964;258.824;246.086;213.290;148.209;213.456;260.794;253.994;245.066
115;Estación del Arte;205.740;223.909;251.124;253.011;244.611;225.269;220.820;171.697;217.079;249.974;237.308;230.779
116;Atocha-Renfe;726.502;725.960;768.600;791.720;790.185;761.188;715.321;541.494;720.325;815.943;779.822;738.399
117;Menéndez Pelayo;192.949;193.918;196.324;203.204;203.583;193.337;158.438;102.425;175.076;216.358;206.223;190.388
118;Pacífico;415.544;411.144;422.545;437.991;438.142;424.191;366.505;270.717;393.899;467.892;451.485;420.375
119;Puente de Vallecas;319.966;311.975;334.546;340.115;349.720;342.437;316.115;250.259;317.932;361.948;353.349;353.901
120;Nueva Numancia;318.899;309.549;328.494;333.337;343.228;333.618;305.939;244.760;313.043;362.610;352.756;357.037
