código_estación;nombre_estación;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19
101;Plaza de Castilla;1.188.809;1.175.766;1.265.008;1.138.972;1.187.173;1.188.184;1.114.316;766.984;1.173.850;1.357.483;1.267.597;1.119.132
102;Valdeacederas;241.157;234.990;252.444;231.999;241.775;236.145;214.656;155.829;229.093;269.730;260.168;241.936
103;Tetuán;313.938;306.805;328.675;301.413;310.952;299.132;273.122;197.907;291.262;342.544;329.942;309.132
104;Estrecho;440.145;431.795;468.014;431.439;450.008;428.991;390.020;279.382;415.213;486.271;468.263;435.206
105;Alvarado;180.102;176.131;188.525;173.909;181.023;174.629;159.554;117.788;165.558;195.710;190.542;186.128
106;Cuatro Caminos;614.662;610.624;652.919;579.823;611.921;606.863;537.288;387.610;622.096;707.372;675.057;622.629
107;Ríos Rosas;210.358;221.840;234.090;208.880;213.342;205.646;175.863;107.966;203.264;251.069;236.404;198.894
108;Iglesia;326.652;317.751;335.662;305.814;320.881;306.612;261.258;163.583;293.701;368.516;358.478;309.315
109;Bilbao;444.973;440.754;464.917;420.720;426.611;390.607;297.840;131.379;212.893;387.773;390.738;359.774
110;Tribunal;543.799;531.285;571.394;508.995;539.244;522.044;457.972;332.959;536.697;596.289;577.949;544.199
111;Gran Vía;0;0;0;0;0;0;0;0;0;0;0;0
112;Sol;2.214.386;1.876.554;2.004.813;1.822.923;1.786.767;1.992.721;1.920.247;1.525.369;2.023.275;2.338.567;2.359.365;2.511.952
113;Tirso de Molina;348.906;350.917;385.179;347.935;361.741;343.762;301.239;236.654;323.372;386.789;368.296;353.138
114;Antón Martín;254.821;249.456;273.085;254.196;251.621;249.032;221.630;159.147;230.672;278.123;268.034;251.127
115;Estación del Arte;219.371;224.514;265.060;248.096;238.029;228.203;217.005;163.658;219.770;246.778;239.118;247.538
116;Atocha-Renfe;766.899;760.982;831.446;769.631;792.419;818.609;732.408;555.124;771.258;884.308;826.353;780.005
117;Menéndez Pelayo;202.040;199.417;209.925;189.454;199.382;193.081;160.614;105.653;181.984;222.065;216.627;196.458
118;Pacífico;446.553;441.134;473.701;425.448;451.710;442.656;400.105;287.259;433.360;501.443;476.826;436.687
119;Puente de Vallecas;352.736;341.574;374.021;346.646;363.383;356.155;333.685;264.695;336.269;387.079;374.976;369.048
120;Nueva Numancia;355.158;342.439;374.099;343.691;360.925;355.486;332.914;263.050;342.070;390.202;375.810;376.792
121;Portazgo;205.906;197.098;212.774;196.450;202.128;201.943;186.533;141.568;195.695;225.079;217.132;230.177
122;Buenos Aires;146.456;140.066;153.151;139.503;148.557;147.279;132.674;101.549;142.244;164.874;160.247;165.666
123;Alto del Arenal;174.338;164.942;179.692;166.635;175.985;170.344;158.259;127.125;163.894;187.363;182.543;183.451
124;Miguel Hernández;199.567;192.983;207.253;191.417;203.633;198.318;183.439;144.270;191.139;220.910;214.763;209.437
125;Sierra de Guadalupe;225.421;224.931;238.634;214.431;220.526;207.041;189.386;144.328;208.582;242.325;233.450;221.544
126;Villa de Vallecas;154.036;147.975;159.791;144.862;153.304;156.357;146.001;113.589;156.024;180.697;173.263;167.104
127;Congosto;125.412;122.456;132.376;119.197;127.600;123.686;111.451;79.806;121.834;142.508;134.243;127.611
128;La Gavia;97.576;95.868;101.509;91.173;94.783;94.789;87.394;62.956;95.887;115.358;108.711;101.923
129;Las Suertes;172.171;154.334;165.413;153.201;160.698;163.730;150.454;119.591;158.221;179.848;178.169;187.829
130;Valdecarros;69.930;68.264;72.926;66.019;70.250;69.764;64.823;48.043;69.648;84.077;78.903;75.169
151;Chamartín;559.331;560.561;600.983;562.703;567.476;575.458;540.550;372.951;575.176;675.291;620.732;525.571
152;Bambú;102.849;105.198;109.105;97.441;101.566;102.581;96.231;58.376;98.208;119.826;108.911;86.544
153;Pinar de Chamartín;369.002;364.937;386.547;348.141;362.061;374.358;328.393;204.675;367.620;440.981;409.751;360.279
201;Ventas;244.387;231.024;255.058;237.165;326.376;315.236;215.675;161.802;254.713;295.375;262.276;251.978
202;Manuel Becerra;396.526;373.845;392.140;351.349;370.096;384.738;339.288;228.621;373.644;447.984;420.684;375.195
203;Goya;599.621;488.297;489.996;440.544;463.891;545.594;471.878;331.078;502.450;593.463;596.264;619.128
204;Príncipe de Vergara;196.429;159.440;175.333;154.218;162.692;200.245;170.519;55.658;176.541;214.195;206.984;202.923
205;Retiro;194.709;151.577;177.840;152.476;162.643;279.242;229.460;180.256;228.535;250.803;217.866;220.943
206;Banco de España;265.415;0;0;0;9.632;258.249;254.633;184.391;280.535;331.455;327.348;373.610
207;Sevilla;0;0;0;0;7.771;97.893;102.471;64.343;98.036;120.383;123.723;138.902
209;Ópera;523.588;471.311;525.637;492.250;524.901;507.770;456.598;355.044;471.691;546.711;550.632;676.821
210;Santo Domingo;145.866;103.809;110.103;97.411;94.380;130.622;121.547;95.844;134.640;157.836;157.986;165.457
211;Noviciado;174.370;150.850;160.507;139.628;132.729;160.411;142.519;103.402;167.925;197.065;193.102;172.701
212;San Bernardo;248.806;248.535;254.532;225.012;226.542;220.666;209.530;147.359;258.981;277.986;266.313;229.214
213;Quevedo;258.425;228.419;237.117;206.180;194.482;225.682;210.049;141.480;232.507;273.626;266.705;239.704
214;Canal;265.379;268.903;283.203;246.321;249.501;261.247;228.411;141.020;256.122;309.907;293.033;250.361
251;La Elipa;244.233;202.171;217.090;192.347;203.219;228.621;209.797;159.303;230.718;262.694;256.771;254.287
252;La Almudena;97.425;81.093;85.876;76.787;83.629;93.032;84.309;63.171;92.170;109.139;106.480;107.721
253;Alsacia;154.051;131.387;140.497;125.300;131.649;145.044;128.067;96.622;142.571;166.899;162.682;168.309
254;Avenida de Guadalajara;107.323;95.880;100.345;88.104;93.518;99.323;81.362;57.235;101.432;120.486;116.214;114.905
255;Las Rosas;109.502;97.597;102.918;91.031;95.138;110.082;89.002;58.491;106.075;120.680;114.354;118.037
301;Legazpi;629.230;625.957;680.800;613.768;665.189;636.696;568.544;427.041;623.571;717.023;674.371;640.910
302;Delicias;338.015;327.717;349.498;312.584;331.071;331.281;313.230;219.795;325.839;398.455;369.263;333.596
303;Palos de la Frontera;239.771;229.750;241.042;215.651;224.108;225.882;207.281;149.090;221.677;263.169;252.710;233.248
304;Embajadores;541.797;543.905;581.726;519.035;540.323;526.443;463.205;321.851;528.264;645.282;613.229;538.374
305;Lavapiés;315.489;308.292;326.198;295.646;310.503;313.114;280.353;217.113;301.523;377.404;351.988;325.212
307;Callao;881.623;858.772;928.693;864.937;911.763;810.901;767.615;619.968;792.172;885.299;932.322;1.042.608
308;Plaza de España;754.745;753.935;831.818;750.249;771.513;720.620;640.798;499.143;713.123;857.106;825.329;808.501
309;Ventura Rodríguez;146.926;147.883;161.370;141.954;146.188;137.718;116.895;78.349;146.081;176.940;167.650;142.925
310;Argüelles;795.485;785.660;815.233;719.466;739.787;709.493;618.583;386.223;716.505;865.279;836.932;741.955
