código_estación;nombre_estación;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21
1215;Parque de los Estados;71.052;64.769;;;;;;;;;;
1217;Arroyo Culebro;20.780;18.256;;;;;;;;;;
1218;Conservatorio;42.660;35.613;;;;;;;;;;
1219;Alonso de Mendoza;51.790;51.816;;;;;;;;;;
1220;Getafe Central;168.895;160.404;;;;;;;;;;
1221;Juan de la Cierva;108.490;102.591;;;;;;;;;;
1222;El Casar;81.738;86.509;;;;;;;;;;
1223;Los Espartales;37.381;31.861;;;;;;;;;;
1224;El Bercial;47.381;36.789;;;;;;;;;;
1225;El Carrascal;103.781;79.766;;;;;;;;;;
1226;Julián Besteiro;78.858;66.411;;;;;;;;;;
1227;Casa del Reloj;66.615;63.163;;;;;;;;;;
1228;Hospital Severo Ochoa;50.919;42.402;;;;;;;;;;
1229;Leganés Central;104.612;101.971;;;;;;;;;;
1230;San Nicasio;68.014;66.379;;;;;;;;;;
